Country,Hib3_2014
Afghanistan,75
Albania,98
Algeria,95
Andorra,97
Angola,80
Antigua and Barbuda,99
Argentina,94
Armenia,93
Australia,91
Austria,83
Azerbaijan,94
Bahamas,96
Bahrain,99
Bangladesh,95
Barbados,94
Belarus,20
Belgium,98
Belize,95
Benin,70
Bhutan,99
Bolivia (Plurinational State of),94
Bosnia and Herzegovina,79
Botswana,96
Brazil,95
Brunei Darussalam,96
Bulgaria,83
Burkina Faso,91
Burundi,95
Cote d'Ivoire,67
Cabo Verde,95
Cambodia,97
Cameroon,87
Canada,96
Central African Republic,47
Chad,46
Chile,92
Colombia,90
Comoros,80
Congo,90
Cook Islands,99
Costa Rica,91
Croatia,95
Cuba,96
Cyprus,96
Czech Republic,99
Democratic People's Republic of Korea,93
Democratic Republic of the Congo,80
Denmark,94
Djibouti,78
Dominica,97
Dominican Republic,87
Ecuador,83
Egypt,94
El Salvador,93
Equatorial Guinea,24
Eritrea,94
Estonia,93
Ethiopia,77
Fiji,99
Finland,98
France,98
Gabon,70
Gambia,96
Georgia,91
Germany,94
Ghana,98
Greece,99
Grenada,97
Guatemala,73
Guinea,51
Guinea-Bissau,80
Guyana,98
Haiti,48
Honduras,85
Hungary,99
Iceland,90
India,20
Indonesia,21
Iraq,64
Ireland,96
Israel,94
Italy,94
Jamaica,92
Jordan,98
Kazakhstan,95
Kenya,81
Kiribati,75
Kuwait,95
Kyrgyzstan,96
Lao People's Democratic Republic,88
Latvia,92
Lebanon,81
Lesotho,96
Liberia,50
Libya,94
Lithuania,93
Luxembourg,99
Madagascar,73
Malawi,91
Malaysia,97
Maldives,99
Mali,77
Malta,99
Marshall Islands,65
Mauritania,84
Mauritius,97
Mexico,87
Micronesia (Federated States of),68
Monaco,99
Mongolia,99
Montenegro,91
Morocco,99
Mozambique,78
Myanmar,75
Namibia,88
Nauru,95
Nepal,92
Netherlands,96
New Zealand,93
Nicaragua,98
Niger,68
Nigeria,66
Niue,99
Norway,94
Oman,99
Pakistan,73
Palau,99
Panama,80
Papua New Guinea,62
Paraguay,87
Peru,88
Philippines,79
Poland,99
Portugal,98
Qatar,99
Republic of Korea,97
Republic of Moldova,89
Romania,92
Russian Federation,31
Rwanda,99
Saint Kitts and Nevis,98
Saint Lucia,99
Saint Vincent and the Grenadines,98
Samoa,91
San Marino,79
Sao Tome and Principe,95
Saudi Arabia,98
Senegal,89
Serbia,94
Seychelles,99
Sierra Leone,83
Slovakia,97
Slovenia,95
Solomon Islands,88
Somalia,42
South Africa,70
Spain,96
Sri Lanka,99
Sudan,94
Suriname,85
Swaziland,98
Sweden,98
Switzerland,95
Syrian Arab Republic,43
Tajikistan,97
The former Yugoslav republic of Macedonia,94
Timor-Leste,77
Togo,87
Tonga,82
Trinidad and Tobago,92
Tunisia,98
Turkey,96
Turkmenistan,97
Tuvalu,90
Uganda,78
Ukraine,83
United Arab Emirates,94
United Kingdom of Great Britain and Northern Ireland,95
United Republic of Tanzania,97
United States of America,93
Uruguay,95
Uzbekistan,99
Vanuatu,64
Venezuela (Bolivarian Republic of),78
Viet Nam,95
Yemen,88
Zambia,86
Zimbabwe,91